ITEM NAME,QUANTITY,VENDOR,MONTH,YEAR,CATEGORY
DAFLON 1000MG,120,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
DALACINE C 300MG TAB,160,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
DAPARYL 10MG,100,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
DEVIRY 10MG,30,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
DEXATROY 2ML,40,HEALTH PHARMA,March,2025,Pharmaceuticals
DEXTOMID 100MG /1ML INJ,15,HEALTH PHARMA,March,2025,Pharmaceuticals
DEXTROSE 25 % 100 ML,100,KUMAR MEDINEEDS,March,2025,Pharmaceuticals
DILNIP 10MG,450,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
DILNIP 5MG,240,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
DILNIP T,150,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Miscellaneous
DISPOVAN NEEDLE 18 G,600,R&R SURGICALS,March,2025,General/Consumables
DNS 500 ML (STERIDRIP),50,KUMAR MEDINEEDS,March,2025,Pharmaceuticals
DOBUSTAT 5ML(DOBUTAMIN),36,HEALTH PHARMA,March,2025,Pharmaceuticals
DOPAR-200MG 5ML INJ (DOPAMINE),50,HEALTH PHARMA,March,2025,Pharmaceuticals
DULCOLAX SUPPOSITORY ADULT,30,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Miscellaneous
DUPHALAC   SYP,10,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Miscellaneous
DUPHALAC   SYP 150ML,20,SUMAN AGENCIES HYD PRIVATE LIMITED,March,2025,Pharmaceuticals
DUPHALOSE SYP,100,V K MEDICALS,March,2025,Miscellaneous
DURON INJ (AMIODARONE),20,HEALTH PHARMA,March,2025,Pharmaceuticals
DVT STOCKING ABOVE KNEE XXL,6,R&R SURGICALS,March,2025,Ortho
DVT STOCKINGS ABOVE KNEEMEDIUM,6,R&R SURGICALS,March,2025,Ortho
DYTOR 5 MG TAB,330,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
DYTOR-10MG.TAB,300,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
ECG ELECTRODES,1000,R&R SURGICALS,March,2025,Radiology
ECOSPRIN 75 MG TAB,476,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
ECOSPRIN AV 75/20,100,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Miscellaneous
ECOSPRIN AV75/10 MG TAB,300,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
ECOSPRIN GOLD 20 MG TAB,150,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
EDANOX 1.5MG/ML,5,HEALTH PHARMA,March,2025,Pharmaceuticals
ELTROXIN 50 MCG TAB,4,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
ELTROXIN-25MG TAB,4,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
ELTROXIN-75 MCG TAB,6,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
ENAM 2.5MG TAB,60,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
ENCORATE 500MG TAB,50,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
ENCORATE CHRONO-500 MG TAB,100,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
ENEMA 100 ML,30,R&R SURGICALS,March,2025,Pharmaceuticals
ENSURE-400GMS VENILLA POWDER,4,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Miscellaneous
ENSURE-DIABETIC CARE-POWDER,5,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Miscellaneous
ENZAR - HS CAP,20,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
EPSOLIN-2ML INJ,84,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
ETHAMKEM 250MG INJ,10,HEALTH PHARMA,March,2025,Pharmaceuticals
EVION LC TABLETS,150,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
EXAMINATION GLOVES,6000,R&R SURGICALS,March,2025,Surgical
EXPERT TIBIA TITANUM 9MM*34MM,1,SHREE MITHRA SURGICALS,March,2025,Miscellaneous
FEBURIC 40MG TAB,150,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
FEEDING TUBE 10G,10,R&R SURGICALS,March,2025,Miscellaneous
FLOMIST AZ,5,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Miscellaneous
FLUCANAZOLE PROFLU 100ML,30,KUMAR MEDINEEDS,March,2025,Pharmaceuticals
FOLINEXT D,150,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Miscellaneous
FORACORT- 1MG/2ML RESPULES,40,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
FORACORT-0.5MG/2ML RESPULES,40,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
FORMALIN  SOLUTION (4.5LTS),6,HEALTH PHARMA,March,2025,Pharmaceuticals
GAUZE BMT 100 CM X 18 MTR,10,R&R SURGICALS,March,2025,General/Consumables
GAVISCON PEPPERMINT LIQUID,6,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Miscellaneous
GEMER DS 1 TABLETS,75,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
GEMER V2 TAB,150,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
GENTICYN-80MG INJ,10,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
GLOVE 7.0,75,R&R SURGICALS,March,2025,Surgical
GLOVE 7.5,75,R&R SURGICALS,March,2025,Surgical
GLUTARITE,10,HEALTH PHARMA,March,2025,Miscellaneous
GLYCERIN 100 GM,24,R&R SURGICALS,March,2025,Miscellaneous
GUEDAL AIRWAYS NO. 3  (ROMSONS),10,R&R SURGICALS,March,2025,Miscellaneous
GUEDAL AIRWAYS NO. 4  (ROMSONS),10,R&R SURGICALS,March,2025,Miscellaneous
HA230 POISONING MANAGEMENT,3,VAHINI HEALTHCARE VPVT LTD,March,2025,Miscellaneous
HEAD CAPS (F),400,R&R SURGICALS,March,2025,Pharmaceuticals
HEM-O-LOCK-LARGE PURPLE,2,SRI SWAGATH ENTERPRISES 24-25,March,2025,Miscellaneous
HEM-O-LOK GREEN,2,SRI SWAGATH ENTERPRISES 24-25,March,2025,Miscellaneous
HEPTAGON TABS,250,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
HEXIDINE M/W 80ML,10,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
HIGH DEFINITION IVUS IMAGING CATHETER,1,JIVATECH SURGICALS PVT. LTD,March,2025,Urology
HME FILTER ADULT ( ROMSONS ),20,R&R SURGICALS,March,2025,Miscellaneous
HUMAN INSULATAD 40 IU INJ,10,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
INDERAL-10MG. TAB,150,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
INTRA CATH 20G,200,R&R SURGICALS,March,2025,Miscellaneous
IPRAX LMOL (DUOLIN) RESP,400,KUMAR MEDINEEDS,March,2025,Miscellaneous
IVABRAD-5MG TAB,90,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
KAVIOX 500MG (AVIBACTAM),10,HEALTH PHARMA,March,2025,Pharmaceuticals
KLOTIN 5ML INJ,125,HEALTH PHARMA,March,2025,Pharmaceuticals
KNEE O DRAPE (SURGIWEAR),1,R&R SURGICALS,March,2025,Ortho
KORANDIL 5MG TAB,20,APOLLO PHARMACY,March,2025,Pharmaceuticals
LABEBET 100MG TAB,10,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
LACOSET 100MG,40,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
LACOSET 20 ML INJ,22,EVYA PHARMACY,March,2025,Pharmaceuticals
LACOSET 200MG,40,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
LACOSET 50 MG TAB,40,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
LACOSET INJ,10,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
LAMITOR DT 50MG TAB,40,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
LASIX-4ML,80,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
LEVAH-MK TAB,100,V K MEDICALS,March,2025,Pharmaceuticals
LEVICEL 500 INJ,700,V K MEDICALS,March,2025,Pharmaceuticals
LEVICEL 500 TAB,1000,V K MEDICALS,March,2025,Pharmaceuticals
LEVIPIL 750MG,30,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
LEXANOX PLUS ORAL PASTE,6,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Miscellaneous
LIMCEE TAB,300,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
LIVOGEN TAB,60,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
LOBET  4ML INJ,40,HEALTH PHARMA,March,2025,Pharmaceuticals
LOBUN FORTE,170,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Miscellaneous
LOBUN FORTE CAPS,170,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
LOOZ ENEMA 275 ML,6,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
LOX  2% 30GR GELLY,10,HEALTH PHARMA,March,2025,Dermatology
LOX 2% JELLY 30GM.,18,HEALTH PHARMA,March,2025,Miscellaneous
LOX-2% 30ML INJ,20,HEALTH PHARMA,March,2025,Pharmaceuticals
LUPI  HCG 5000 IU INJ,5,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
LVM 5.0MM LCP NARROW PLATE,1,SHREE MITHRA SURGICALS,March,2025,Ortho
LVM 5.0MM LOCKING SREWS,8,SHREE MITHRA SURGICALS,March,2025,Miscellaneous
MAGNESIUM SULPHATE POWDER,48,R&R SURGICALS,March,2025,Miscellaneous
MANNITOL 20% 100ML,100,KUMAR MEDINEEDS,March,2025,Pharmaceuticals
MAROPEN 1GM INJ,180,V K MEDICALS,March,2025,Pharmaceuticals
MEDIGRIP IV FIX,300,R&R SURGICALS,March,2025,Miscellaneous
MEGAHEAL GEL 15 GM,10,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Dermatology
MET XL TRIO 50MG,90,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
METGLI-1 TAB,1000,V K MEDICALS,March,2025,Pharmaceuticals
METOSARTAN LN-25 MG,100,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
METRO IV 100 ML,200,KUMAR MEDINEEDS,March,2025,Pharmaceuticals
METRONIDAZOLE AXAGYL 100ML,100,KUMAR MEDINEEDS,March,2025,Pharmaceuticals
MEZOLAM 10ML (NEON),120,HEALTH PHARMA,March,2025,Pharmaceuticals
MEZOLAM 5ML INJ,150,HEALTH PHARMA,March,2025,Pharmaceuticals
MISOPROST 200 MCG TAB,36,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
MOPS 30 X 30 CM,100,R&R SURGICALS,March,2025,Miscellaneous
MOVICOL LIQUID SYP,20,SUMAN AGENCIES HYD PRIVATE LIMITED,March,2025,Miscellaneous
MULTI-V SOFT GEL CAP,1000,V K MEDICALS,March,2025,Dermatology
MULTI-V SYP200ML,50,V K MEDICALS,March,2025,Pharmaceuticals
MYO PYROLATE 0.5 MG 5 ML INJ,25,HEALTH PHARMA,March,2025,Pharmaceuticals
MYORIL-4MG.TAB,200,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
NACETAM 200MG 15ML,12,HEALTH PHARMA,March,2025,Pharmaceuticals
NAPROSYN 500 MG TAB,165,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
NAPROSYN TAB 250MG,330,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
NASOWASH NASAL SPRAY,1,APOLLO PHARMACY,March,2025,Miscellaneous
NEBULIZER MASK ADULT (ROMSONS),40,R&R SURGICALS,March,2025,Respiratory
NEFROSAVE TABLET,90,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
NEOPRATE 100MG,100,HEALTH PHARMA,March,2025,Pharmaceuticals
NEOROF 10ML INJ,10,HEALTH PHARMA,March,2025,Pharmaceuticals
NEOROF 20ML INJ,10,HEALTH PHARMA,March,2025,Pharmaceuticals
NEOSPORIN POWDER 10 GM,5.5,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Miscellaneous
NEVANAC EYE DROPS 5 ML,1,APOLLO PHARMACY,March,2025,Pharmaceuticals
NEXITO FORTE TAB,100,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
NIKORAN  5MG TAB,100,APOLLO PHARMACY,March,2025,Pharmaceuticals
NIKORAN 5 MG TAB,8,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
NITROPLUS 25MG/5ML INJ,20,HEALTH PHARMA,March,2025,Pharmaceuticals
NIV MASK (S),4,R&R SURGICALS,March,2025,Respiratory
NIV MASK L(VENTED),4,R&R SURGICALS,March,2025,Respiratory
NIV MASK M,4,R&R SURGICALS,March,2025,Respiratory
NODOSIS 500 MG TAB,75,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
NORAD-2ML INJ,600,HEALTH PHARMA,March,2025,Pharmaceuticals
NS 0.45% 500 ML,25,KUMAR MEDINEEDS,March,2025,Pharmaceuticals
NS 100 ML,3000,KUMAR MEDINEEDS,March,2025,Pharmaceuticals
NS 3% 100 ML,100,KUMAR MEDINEEDS,March,2025,Pharmaceuticals
NS 3000 ML,16,KUMAR MEDINEEDS,March,2025,Pharmaceuticals
NS 500 ML (STERIDRIP),900,KUMAR MEDINEEDS,March,2025,Pharmaceuticals
NUSAM-400MG TAB,40,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
OPTINEURON INJ,360,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
OSTEO TWIN COMPOSITE,1,SHREE MITHRA SURGICALS,March,2025,Miscellaneous
OTRIVIN 10 ML ADULT NASAL DROPS,10,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
OXETOL 150 MG TABLETS,100,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
OXETOL 300MG TAB,100,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
OXYGEN  MASK (ADULT),20,R&R SURGICALS,March,2025,Respiratory
OXYGEN MASK ADULT (RAMSONS FLEXI MASK),40,R&R SURGICALS,March,2025,Respiratory
PANKREOFLAT TABLET,75,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
PANTOCEL 40 INJE,400,V K MEDICALS,March,2025,Pharmaceuticals
PARAID 100ML IV,1000,V K MEDICALS,March,2025,Pharmaceuticals
PARAID 100ML IV-L,400,V K MEDICALS,March,2025,Pharmaceuticals
PARAID-650,1500,V K MEDICALS,March,2025,Miscellaneous
PB-LAC CAPSUL,1000,V K MEDICALS,March,2025,Pharmaceuticals
PERLIN-T INJ 4.5,415,V K MEDICALS,March,2025,Pharmaceuticals
PETRIL BETA-20MG TAB,180,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
POLYIV 500000UNITS,10,HEALTH PHARMA,March,2025,Miscellaneous
POTCL INJ,215,HEALTH PHARMA,March,2025,Pharmaceuticals
POTKLOR 200 ML SYR,10,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
POWER DROOL,20,R&R SURGICALS,March,2025,Miscellaneous
PREM -75MG,1000,V K MEDICALS,March,2025,Pharmaceuticals
PRO ALL POWDER,70,V K MEDICALS,March,2025,Miscellaneous
PROHANCE D POWDER,2,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Miscellaneous
PROTHIADEN 25 MG TAB,450,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
PRUVICT 1MG,100,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
PRUVICT 2 MG TAB,100,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
PULMOCLEAR SYRUP 100ML,12,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
PULMOSET SYP,100,V K MEDICALS,March,2025,Miscellaneous
PYROLATE 10 ML VIAL,50,HEALTH PHARMA,March,2025,Pharmaceuticals
QUTIPIN 25 MG TAB,200,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Ortho
RAPPIN-DSR CAPS,900,V K MEDICALS,March,2025,Ortho
RECLIMET XR,60,APOLLO PHARMACY,March,2025,Miscellaneous
REDOTIL CAP,150,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
REOMIN NEPHRO 7%,6,HEALTH PHARMA,March,2025,Miscellaneous
RESPIROMETER,10,R&R SURGICALS,March,2025,Miscellaneous
RL 500 ML STERIDRIP,300,KUMAR MEDINEEDS,March,2025,Pharmaceuticals
ROMO VAC SET -  12.,4,R&R SURGICALS,March,2025,Miscellaneous
ROMO VAC SET -  14,6,R&R SURGICALS,March,2025,Miscellaneous
ROMOFLOW(ROMSONS),20,R&R SURGICALS,March,2025,Miscellaneous
ROSUVA GOLD 10 MG CAPSULES,100,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
ROSUVAS CV 10 TAB,30,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
ROSUVAS CV 20MG,60,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
ROSUVAS F20 MG,10,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
ROZUCOR GOLD 20MG,100,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
RYLES TUBE--- 16G,50,R&R SURGICALS,March,2025,Gastroenterology
SERACEL-D TAB,200,V K MEDICALS,March,2025,Pharmaceuticals
SEROFLO 250MCG INHALER,4,GENERIC MEDICAL STORE,March,2025,Respiratory
SHAVER BLADE,1,SHREE MITHRA SURGICALS,March,2025,Surgical
SHAVER RENT,1,SHREE MITHRA SURGICALS,March,2025,Miscellaneous
SIBOFIX - 550 MG TAB,100,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
SICRIPTIN 2.5MG TAB,10,APOLLO PHARMACY,March,2025,Pharmaceuticals
SILODAL-D 8MG CAPS,60,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Pharmaceuticals
SILODERM CREAM- 20G,5,KRISHNA PHARMACEUTICAL DISTRIBUTORS,March,2025,Dermatology
SKIN STAPLER PMW35,20,HEALTH PHARMA,March,2025,Surgical
SODAC 25 ML INJ (SODIUM BICARBONATE),80,HEALTH PHARMA,March,2025,Pharmaceuticals
SOSRANE,6,HEALTH PHARMA,March,2025,Miscellaneous
SUCOL INJ,10,HEALTH PHARMA,March,2025,Pharmaceuticals
SUCTION  CATHETER 14 G (ROMSONS),20,R&R SURGICALS,March,2025,Radiology
SUCTION CATHETER NO.16,20,R&R SURGICALS,March,2025,Radiology
SUPRIDOL-100MG/ 2 ML INJ,100,HEALTH PHARMA,March,2025,Pharmaceuticals
